       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.131354,  0.650145,  0.660583,  0.379088,  0.106335,  2.207372,  7.091215,  0.790829,  0.068137 
  0.135264,  0.906935,  0.692263,  0.416697,  0.182682,  1.963289,  7.254130,  0.591383,  0.183847 
  0.133373,  1.348087,  0.615223,  0.375064,  0.157159,  2.473644,  7.482504,  0.250663,  0.391430 
  0.137412,  0.745618,  0.668503,  0.406376,  0.243357,  2.407076,  7.015376, -0.006955,  0.400036 
  0.129334,  1.002408,  0.641143,  0.390458,  0.295076,  2.643763,  7.399459,  1.480580,  0.374517 
  0.137241,  1.157141,  0.649351,  0.361420,  0.199026,  2.330836,  7.054822,  1.306064,  0.433118 
  0.132788,  0.791709,  0.698311,  0.400079,  0.346347,  1.783499,  7.177313, -0.871221,  0.176974 
  0.139147,  1.047402,  0.618391,  0.384161,  0.080364,  1.672552,  7.237521, -0.839730,  0.235575 
  0.130811,  1.244932,  0.673831,  0.414423,  0.302017,  1.798292,  6.998767,  1.595174,  0.206275 
  0.135108,  0.672093,  0.631697,  0.372790,  0.117306,  1.524623,  6.924026,  1.719827,  0.245972 
  0.133862,  0.935467,  0.659777,  0.410325,  0.246268,  2.708055,  7.374545,  0.282154,  0.175798 
  0.138159,  1.399665,  0.682817,  0.386535,  0.088648,  2.143080,  7.112465,  0.573013,  0.235680 
  0.129823,  0.767566,  0.626657,  0.366943,  0.167458,  2.076512,  7.199662, -0.316184,  0.117140 
  0.136182,  1.021064,  0.679073,  0.397205,  0.150218,  2.254027,  7.297240, -0.091807,  0.156838 
  0.131778,  1.188965,  0.638753,  0.381287,  0.217691,  1.958169,  6.940147,  1.038387,  0.447008 
  0.139684,  0.823533,  0.651713,  0.419946,  0.276798,  2.490713,  7.336686,  1.129800,  0.481034 
  0.131606,  1.075934,  0.694193,  0.368867,  0.205377,  2.424145,  7.459178, -0.573802,  0.474418 
  0.135645,  1.273465,  0.610385,  0.404377,  0.338369,  2.618160,  7.095856, -0.499009,  0.336422 
  0.133755,  0.608444,  0.667265,  0.391607,  0.056937,  2.285319,  7.280631,  1.902653,  0.282547 
  0.137665,  0.894864,  0.644225,  0.364669,  0.310606,  1.737982,  7.488244,  0.863872,  0.322072 
