       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.134627,  1.271495,  0.692095,  0.384801,  0.072631,  2.033724,  6.952272,  0.087943,  0.144421 
  0.130269,  0.620212,  0.635411,  0.372736,  0.209612,  1.747713,  7.248418,  1.465879,  0.002336 
  0.133611,  1.133589,  0.627912,  0.405717,  0.166951,  2.076106,  6.925038,  0.018618,  0.164016 
  0.132727,  1.063194,  0.692522,  0.402399,  0.090136,  1.670335,  7.018090,  1.499995,  0.076635 
  0.138936,  1.262639,  0.636269,  0.396164,  0.246497,  1.729217,  7.056188,  0.167984,  0.145508 
  0.132235,  0.665047,  0.660736,  0.415599,  0.123479,  1.869969,  7.285661,  0.509913,  0.130862 
  0.129397,  1.177408,  0.682349,  0.409283,  0.079698,  2.434725,  7.483870,  0.396516,  0.197572 
  0.135066,  1.379284,  0.630089,  0.398186,  0.108820,  1.818439,  7.143024,  0.270297,  0.106018 
  0.129045,  0.911550,  0.626863,  0.390523,  0.058302,  2.738663,  6.996848,  1.440108,  0.093064 
  0.135104,  0.828681,  0.639164,  0.419122,  0.268846,  2.263775,  6.959221,  0.816517,  0.028065 
  0.130367,  0.829611,  0.622440,  0.397595,  0.100903,  1.500042,  7.490721,  0.222219,  0.130063 
  0.132417,  1.318155,  0.694451,  0.386031,  0.070800,  1.878005,  6.928695,  0.796904,  0.037878 
  0.139879,  1.285806,  0.610681,  0.390359,  0.280651,  2.009932,  7.264655,  0.848446,  0.195358 
  0.135335,  1.277027,  0.656804,  0.413107,  0.103553,  2.642613,  7.495594,  0.900057,  0.042253 
  0.135636,  0.663539,  0.665697,  0.400969,  0.264283,  2.571958,  7.152801,  1.461321,  0.052396 
  0.135975,  0.637689,  0.617256,  0.367983,  0.081648,  1.672146,  7.422820,  0.847238,  0.018625 
  0.131954,  0.613181,  0.643867,  0.365241,  0.255087,  1.571047,  6.913436,  0.972110,  0.154555 
  0.137201,  1.279787,  0.634490,  0.406197,  0.204382,  2.411862,  7.038363,  0.854639,  0.056057 
  0.130053,  0.635662,  0.692746,  0.418844,  0.235527,  2.605412,  6.989276,  1.076644,  0.102450 
  0.131769,  0.785350,  0.650721,  0.406742,  0.062332,  1.950656,  7.007473,  1.070740,  0.085798 
